"Year","Seed1","Score1","Team1","Team2","Score2","Seed2","ScoreDiff","Upset","ID","ADJOE_DIFF","ADJDE_DIFF","BARTHAG_DIFF","EFG_O_DIFF","EFG_D_DIFF","TOR_DIFF","TORD_DIFF","ORB_DIFF","DRB_DIFF","FTR_DIFF","FTRD_DIFF","X2P_O_DIFF","X2P_D_DIFF","X3P_O_DIFF","X3P_D_DIFF","ADJ_T_DIFF","WAB_DIFF"
2013,2,78,"Miami FL","Pacific",49,15,29,0,"Miami FL-Pacific",7.7,-10.3,0.322,1.4,-4.3,-1.1,-1.6,2.1,-2.4,-3.1,-11,3.8,-4,-2.7,-2.8,-0.4,11.4
2013,3,59,"Marquette","Davidson",58,14,1,0,"Marquette-Davidson",2.4,-5.1,0.106,-3.5,0.9,3.9,0.7,9.4,4.6,2,-4.7,-0.4,0.6,-7,0.2,-0.6,5.9
2013,4,81,"Syracuse","Montana",34,13,47,0,"Syracuse-Montana",11.4,-14.8,0.46,-3.9,-6,-0.2,5.3,13.7,4,-3.8,-0.5,-3.5,-5.4,-3,-4.9,1.5,6.5
2013,5,61,"UNLV","California",64,12,-3,1,"UNLV-California",-0.7,-3.9,0.054,0.9,-0.2,1.3,1.7,0.8,-3.6,5.5,-2.9,0.1,0.9,2.4,-2,2.8,1.3
2013,6,68,"Butler","Bucknell",56,11,12,0,"Butler-Bucknell",4.5,-0.1,0.069,1.1,4.2,5.1,3.3,6.6,2,2.7,6.7,1.9,4.2,-1.5,2.7,1.3,3.7
2013,7,57,"Illinois","Colorado",49,10,8,0,"Illinois-Colorado",4.9,2.5,0.024,-0.8,2.8,-2.4,2.3,0,2.6,-9.9,10.7,0.4,2.7,-2.7,2.1,0.6,1
2013,8,72,"North Carolina St.","Temple",76,9,-4,1,"North Carolina St.-Temple",4.5,1.1,0.043,5.2,-2.2,2.1,-3.5,3.9,1.2,5.3,-5.1,4,0.2,6.3,-5.1,1.3,0.7
2013,1,82,"Louisville","Colorado St.",56,8,26,0,"Louisville-Colorado St.",-0.7,-13.9,0.098,1.4,-3.8,1.1,10.5,-3.2,10.1,-4.1,-1.5,2.4,-3.7,-0.8,-2.3,2.3,7.1
2013,2,66,"Duke","Creighton",50,7,16,0,"Duke-Creighton",2,-3.5,0.039,-4.3,-0.4,-3.3,4.3,0,5.1,5,6.6,-4.9,0.7,-1.5,-2.2,2.6,4
2013,3,70,"Michigan St.","Memphis",48,6,22,0,"Michigan St.-Memphis",5.3,-2.4,0.072,-1.8,-1,0.1,-2.9,0.5,-3.5,-0.6,-2.5,-0.7,0.5,-3.1,-2.9,-4.9,2.2
2013,4,57,"Saint Louis","Oregon",74,12,-17,1,"Saint Louis-Oregon",3.2,-1.1,0.045,1.1,-0.9,-3.8,1.6,-7.9,1.9,5.6,1.7,0.9,-0.8,0.7,-0.3,-4.5,0.9
2013,1,70,"Gonzaga","Wichita St.",76,9,-6,1,"Gonzaga-Wichita St.",8.3,-0.8,0.055,4.9,-0.4,-2.2,0.8,-0.2,3.3,4.3,-8.4,5.4,-1.5,2.6,0.7,0.1,5.4
2013,2,78,"Ohio St.","Iowa St.",75,10,3,0,"Ohio St.-Iowa St.",-3.6,-8.9,0.058,-3.2,-2.6,-2.3,2.1,-2.4,-0.3,2.5,-3.2,-2.5,-5.2,-1.8,1.3,-4.3,6.5
2013,14,51,"Harvard","Arizona",74,6,-23,1,"Harvard-Arizona",-9.5,7.7,-0.287,1.8,2.6,1.3,1.1,-9.4,4.7,12.2,-1.7,0.9,5.5,2.7,-2.5,-2.1,-7.2
2013,13,76,"La Salle","Mississippi",74,12,2,0,"La Salle-Mississippi",2,0.6,0.018,2.8,2.9,1.2,-0.2,-5.1,2.4,-7.5,-2.6,-0.1,4.4,5.3,-1.1,-4.9,-1.3
2013,1,70,"Kansas","North Carolina",58,8,12,0,"Kansas-North Carolina",0,-6.8,0.061,4,-6.5,3.1,-3.1,-0.8,-2.3,11.3,4.9,6.6,-7,-0.8,-4.1,-3.7,5
2013,15,81,"Florida Gulf Coast","San Diego St.",71,7,10,0,"Florida Gulf Coast-San Diego St.",-2.6,6.8,-0.18,3.1,2.2,2.9,3.9,0.7,4.9,-0.1,3.8,4,3.6,0.7,-0.5,2.3,-4.4
2013,3,78,"Florida","Minnesota",64,11,14,0,"Florida-Minnesota",3.1,-6.8,0.064,5.9,-2.3,-3.8,2.3,-9.4,-4.8,-10.6,-6.8,5.5,-1,4.1,-2.9,-1.3,2
2013,4,78,"Michigan","VCU",53,5,25,0,"Michigan-VCU",7.7,1.6,0.033,3.3,-1.9,-2.3,-9.8,-4.1,-5.3,-1.4,-17.6,2.9,-2.5,2.8,-0.3,-3.3,3.6
2013,1,58,"Indiana","Temple",52,9,6,0,"Indiana-Temple",10.3,-7.2,0.147,5.7,-5,3.4,0.8,8.2,0,10.2,-7.1,3.2,-4.1,7.5,-4.9,1,6.3
2013,2,63,"Miami FL","Illinois",59,7,4,0,"Miami FL-Illinois",2.6,-1.9,0.046,4.4,-3,-0.9,-3.3,-2.3,-4.6,3.6,-7.7,3.2,-3.4,4.5,-1.5,-3.1,3.9
