"SEED"
"1"
"1"
"1"
"1"
"2"
"2"
"2"
"2"
"3"
"3"
"3"
"3"
"4"
"4"
"4"
"4"
"5"
"5"
"5"
"5"
"6"
"6"
"6"
"6"
"7"
"7"
"7"
"7"
"8"
"8"
"8"
"8"
"9"
"9"
"9"
"9"
"10"
"10"
"10"
"10"
"11"
"11"
"11"
"11"
"11"
"12"
"12"
"12"
"12"
"13"
"13"
"13"
"13"
"13"
"14"
"14"
"14"
"14"
"15"
"15"
"15"
"15"
"16"
"16"
"16"
"16"
"16"
"16"
"1"
"1"
"1"
"1"
"2"
"2"
"2"
"2"
"3"
"3"
"3"
"3"
"4"
"4"
"4"
"4"
"5"
"5"
"5"
"5"
"6"
"6"
"6"
"6"
"7"
"7"
"7"
"7"
"8"
"8"
"8"
"8"
"9"
"9"
"9"
"10"
"10"
"10"
"10"
"11"
"11"
"11"
"11"
"11"
"11"
"12"
"12"
"12"
"12"
"12"
"13"
"13"
"13"
"13"
"14"
"14"
"14"
"14"
"15"
"15"
"15"
"15"
"16"
"16"
"16"
"16"
"16"
"16"
"1"
"1"
"2"
"2"
"4"
"3"
"1"
"7"
"5"
"6"
"8"
"11"
"4"
"14"
"7"
"2"
"4"
"5"
"10"
"8"
"8"
"14"
"1"
"2"
"14"
"3"
"15"
"12"
"16"
"10"
"13"
"10"
"16"
"13"
"10"
"3"
"16"
"9"
"11"
"15"
"15"
"14"
"9"
"6"
"9"
"16"
"6"
"9"
"12"
"11"
"15"
"13"
"13"
"7"
"12"
"12"
"11"
"11"
"16"
"16"
"4"
"8"
"3"
"11"
"5"
"5"
"7"
"6"
"6"
"12"
"16"
"5"
"14"
"9"
"15"
"4"
"12"
"9"
"8"
"9"
"7"
"4"
"16"
"16"
"14"
"11"
"14"
"16"
"13"
"16"
"5"
"13"
"7"
"3"
"1"
"4"
"5"
"3"
"11"
"2"
"15"
"1"
"11"
"6"
"2"
"1"
"7"
"10"
"9"
"5"
"8"
"6"
"12"
"16"
"14"
"13"
"10"
"10"
"6"
"3"
"8"
"11"
"15"
"13"
"8"
"3"
"11"
"10"
"2"
"1"
"15"
"3"
"11"
"7"
"2"
"12"
"1"
"1"
"1"
"1"
"2"
"2"
"2"
"2"
"3"
"3"
"3"
"3"
"4"
"4"
"4"
"4"
"5"
"5"
"5"
"5"
"6"
"6"
"6"
"6"
"7"
"7"
"7"
"7"
"8"
"8"
"8"
"8"
"9"
"9"
"9"
"9"
"10"
"10"
"10"
"10"
"11"
"11"
"11"
"11"
"11"
"11"
"12"
"12"
"12"
"12"
"13"
"13"
"13"
"13"
"14"
"14"
"14"
"14"
"15"
"15"
"15"
"15"
"16"
"16"
"16"
"16"
"16"
"16"
"1"
"1"
"2"
"2"
"2"
"1"
"3"
"5"
"3"
"2"
"3"
"1"
"4"
"3"
"5"
"6"
"6"
"10"
"5"
"5"
"8"
"8"
"6"
"4"
"4"
"7"
"9"
"6"
"9"
"8"
"10"
"4"
"11"
"7"
"7"
"11"
"8"
"10"
"11"
"12"
"9"
"11"
"9"
"11"
"10"
"12"
"7"
"12"
"13"
"11"
"12"
"13"
"14"
"15"
"14"
"14"
"16"
"13"
"13"
"14"
"15"
"15"
"16"
"15"
"16"
"16"
"16"
"16"
"1"
"1"
"1"
"1"
"2"
"2"
"2"
"2"
"3"
"3"
"3"
"3"
"4"
"4"
"4"
"4"
"5"
"5"
"5"
"5"
"6"
"6"
"6"
"6"
"7"
"7"
"7"
"7"
"8"
"8"
"8"
"8"
"9"
"9"
"9"
"9"
"10"
"10"
"10"
"10"
"11"
"11"
"11"
"11"
"11"
"11"
"12"
"12"
"12"
"12"
"13"
"13"
"13"
"13"
"14"
"14"
"14"
"14"
"15"
"15"
"15"
"15"
"16"
"16"
"16"
"16"
"16"
"16"
