"TEAM","ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","WR","SOS"
"Furman",106.6,98,0.724,54.6,50.7,16.6,23,23.5,28.4,31.6,26.8,57,53.6,34.5,31.2,68.2,-0.7,0.862068965517241,0.5016
"Vermont",105.4,97.1,0.7207,51.7,44.8,17.2,19,27.6,22.7,31.3,31.5,53.4,42.4,33,32.2,66.2,-1.8,0.8125,0.4835
"Loyola Chicago",103.8,96.3,0.7031,54.9,52.2,19.4,23.6,21.3,23.6,38.9,23.5,55.3,49.8,36,36.9,65.3,-4.2,0.67741935483871,0.501
"Belmont",106.9,99.5,0.6938,54.8,47.8,16,19.5,24.7,26.7,22.9,24.3,56.8,46.7,34.8,33.2,70.5,-2.2,0.8125,0.4556
"Boise St.",105.9,98.6,0.6935,51.1,51.1,17.8,19.2,25.5,22.6,36,29.8,51.6,54.9,33.6,30.1,69.1,-2.4,0.645161290322581,0.5338
"Stephen F. Austin",103.4,96.9,0.6781,53.3,49.6,23.6,27.8,37.3,26.8,44,44.6,52.3,48.4,37.4,34.4,71.9,1.4,1,0.4438
"Hofstra",108.9,102.5,0.6663,51.7,50.3,16.5,19.8,29.8,29.5,34.3,20.2,49,52.8,37.4,30.7,68,-2.7,0.787878787878788,0.4757
"Colorado St.",108.7,103,0.649,53.9,51.6,18.6,17.6,26.3,23.8,39.2,24.1,53,51.5,36.9,34.4,69.3,-3.3,0.645161290322581,0.5175
"Western Kentucky",108.5,103.1,0.6438,51.2,50.2,17.7,19.3,25.5,31.1,39.6,21,52,53.5,33.3,30,68.3,-3.2,0.689655172413793,0.522
"Wright St.",105,100.4,0.6245,51,46.5,16.6,18.9,31.9,29.4,37.8,27.1,49.9,47.3,35.5,30,72,-3.6,0.833333333333333,0.4492
