"TEAM","SOS","YEAR"
"Wake Forest",0.5658,2016
"Louisville",0.5649,2016
"Washington",0.5634,2016
"USC",0.563,2016
"Providence",0.563,2016
"Alabama",0.5629,2016
"Vanderbilt",0.5623,2016
"Washington St.",0.5621,2016
"Ohio St.",0.5616,2016
"Virginia Tech",0.5616,2016
"Saint Joseph's",0.5609,2016
"Colorado",0.5607,2016
"Texas A&M",0.5602,2016
"Connecticut",0.5595,2016
"North Carolina St.",0.5592,2016
"Michigan",0.5591,2016
"St. John's",0.5586,2016
"Michigan St.",0.5566,2016
"VCU",0.5562,2016
"San Diego St.",0.556,2016
"TCU",0.5555,2016
"Dayton",0.5534,2016
"Boston College",0.5526,2016
"Tennessee",0.5525,2016
"Indiana",0.552,2016
"Florida St.",0.5518,2016
"Butler",0.5511,2016
"Auburn",0.5506,2016
"Davidson",0.5505,2016
"Oklahoma St.",0.5497,2016
"DePaul",0.5491,2016
"Cincinnati",0.5467,2016
"Illinois",0.5457,2016
"Tulsa",0.5449,2016
"La Salle",0.5447,2016
"Arizona",0.544,2016
"Arkansas",0.544,2016
"Temple",0.5438,2016
"LSU",0.5436,2016
"South Florida",0.543,2016
"Creighton",0.543,2016
"Richmond",0.5427,2016
"Missouri",0.5409,2016
"George Washington",0.5406,2016
"Penn St.",0.5404,2016
"Buffalo",0.5396,2016
"SMU",0.5391,2016
"Northern Iowa",0.5389,2016
"St. Bonaventure",0.5388,2016
"Mississippi St.",0.5381,2016
"Long Beach St.",0.5381,2016
"Eastern Michigan",0.5377,2016
"Saint Louis",0.5367,2016
"William & Mary",0.5365,2016
"Rhode Island",0.535,2016
"Wichita St.",0.5347,2016
"Drexel",0.5344,2016
"George Mason",0.5344,2016
"Gonzaga",0.5329,2016
"Miami (OH)",0.5298,2016
"Clemson",0.529,2016
"Minnesota",0.5282,2016
"Northeastern",0.5269,2016
"Marshall",0.5263,2016
"Massachusetts",0.526,2016
"Nebraska",0.5257,2016
"Wyoming",0.5255,2016
"Oral Roberts",0.525,2016
"Illinois St.",0.5246,2016
"Utah St.",0.5238,2016
"Hofstra",0.5236,2016
"BYU",0.5232,2016
"New Mexico",0.5231,2016
"Marquette",0.523,2016
"Rutgers",0.5228,2016
"Ohio",0.522,2016
"UNLV",0.5206,2016
"UC Santa Barbara",0.5203,2016
"Memphis",0.5199,2016
"Western Michigan",0.5196,2016
"Fresno St.",0.5182,2016
"Duquesne",0.5174,2016
"Nevada",0.5168,2016
"Boise St.",0.5164,2016
"Pacific",0.5163,2016
"Indiana St.",0.5145,2016
"Bradley",0.5142,2016
"Central Michigan",0.5139,2016
"South Carolina",0.5132,2016
"Akron",0.513,2016
"UNC Wilmington",0.5127,2016
"Saint Mary's",0.5118,2016
"Valparaiso",0.5117,2016
"Charleston",0.5115,2016
"South Dakota St.",0.5109,2016
"East Carolina",0.5107,2016
"Western Kentucky",0.5105,2016
"Elon",0.5105,2016
"Middle Tennessee",0.5103,2016
"James Madison",0.509,2016
"Western Carolina",0.5087,2016
"Northwestern",0.5081,2016
"Tulane",0.507,2016
"Delaware",0.5065,2016
"East Tennessee St.",0.5063,2016
"Cal Poly",0.5063,2016
"Houston",0.5061,2016
"Louisiana Monroe",0.5054,2016
"Mississippi",0.5049,2016
"Princeton",0.5046,2016
"Yale",0.5046,2016
"Kent St.",0.504,2016
"IUPUI",0.5039,2016
"Cleveland St.",0.5036,2016
"Pepperdine",0.5031,2016
"UC Irvine",0.5028,2016
"Harvard",0.5019,2016
"Colorado St.",0.5014,2016
"UCF",0.5012,2016
"Morehead St.",0.5011,2016
"San Jose St.",0.5011,2016
"Iona",0.5011,2016
"IPFW",0.5,2016
"Appalachian St.",0.4992,2016
"Louisiana Lafayette",0.4989,2016
"Air Force",0.4979,2016
"Santa Clara",0.4979,2016
"South Dakota",0.4973,2016
"Portland",0.4951,2016
"Monmouth",0.4933,2016
"Belmont",0.4933,2016
"Northern Illinois",0.4929,2016
"Siena",0.4921,2016
"Cornell",0.4912,2016
"Fordham",0.4907,2016
"Columbia",0.49,2016
"Fairfield",0.4899,2016
"Missouri St.",0.4896,2016
"Lehigh",0.4896,2016
"Nebraska Omaha",0.4893,2016
"Loyola MD",0.489,2016
"Old Dominion",0.4889,2016
"Georgia St.",0.4886,2016
"Oakland",0.4883,2016
"Murray St.",0.4876,2016
"Northern Arizona",0.4872,2016
"Green Bay",0.4871,2016
"Stony Brook",0.4871,2016
"Evansville",0.4868,2016
"Bowling Green",0.4859,2016
"Western Illinois",0.4856,2016
"Coastal Carolina",0.4854,2016
"Hawaii",0.4846,2016
"Austin Peay",0.4844,2016
"Kennesaw St.",0.4842,2016
"North Dakota St.",0.4837,2016
"UNC Greensboro",0.4836,2016
"Northern Kentucky",0.4834,2016
"Charleston Southern",0.4832,2016
"Vermont",0.483,2016
"Arkansas Little Rock",0.4828,2016
"Radford",0.4827,2016
"Furman",0.4826,2016
"Chattanooga",0.4825,2016
"Wofford",0.4817,2016
"New Mexico St.",0.4815,2016
"Tennessee Tech",0.4815,2016
"UNC Asheville",0.4813,2016
"Drake",0.4812,2016
"Toledo",0.4807,2016
"Ball St.",0.4807,2016
"Troy",0.4803,2016
"Florida Atlantic",0.4794,2016
"Charlotte",0.4793,2016
"Arkansas St.",0.4792,2016
"Youngstown St.",0.4792,2016
"Detroit",0.4788,2016
"Denver",0.4784,2016
"Stephen F. Austin",0.4779,2016
"Canisius",0.4777,2016
"Towson",0.4776,2016
"Rice",0.4774,2016
"South Alabama",0.4772,2016
"SIU Edwardsville",0.4771,2016
"UC Davis",0.4766,2016
"Bucknell",0.4764,2016
"Dartmouth",0.4762,2016
"Chicago St.",0.4762,2016
"Manhattan",0.4756,2016
"Lipscomb",0.4755,2016
"Eastern Kentucky",0.4752,2016
"American",0.475,2016
"Loyola Marymount",0.4745,2016
"Jacksonville St.",0.4742,2016
"Saint Peter's",0.4737,2016
"Wright St.",0.4735,2016
"San Diego",0.4732,2016
"North Texas",0.4731,2016
"Cal St. Northridge",0.4729,2016
"VMI",0.4723,2016
"Niagara",0.4723,2016
"UTA",0.472,2016
"Rider",0.4717,2016
"Loyola Chicago",0.471,2016
"Sam Houston St.",0.4701,2016
"Liberty",0.4695,2016
"Brown",0.4684,2016
"San Francisco",0.468,2016
"Binghamton",0.4679,2016
"Georgia Southern",0.4678,2016
"Penn",0.4676,2016
"Southern Illinois",0.4673,2016
"UAB",0.4673,2016
"NJIT",0.467,2016
"North Dakota",0.467,2016
"Grand Canyon",0.4665,2016
"Hartford",0.4664,2016
"Lafayette",0.4664,2016
"Florida Gulf Coast",0.466,2016
"FIU",0.4655,2016
"Utah Valley",0.465,2016
"Illinois Chicago",0.4647,2016
"Montana",0.4646,2016
"Cal St. Fullerton",0.4645,2016
"Gardner Webb",0.4641,2016
"Texas A&M Corpus Chris",0.464,2016
"UMKC",0.4638,2016
"Louisiana Tech",0.4636,2016
"Quinnipiac",0.4635,2016
"Marist",0.4635,2016
"Northern Colorado",0.4623,2016
"Milwaukee",0.462,2016
"Houston Baptist",0.4613,2016
"Holy Cross",0.461,2016
"Southern Miss",0.4609,2016
"UMass Lowell",0.4603,2016
"Southeast Missouri St.",0.4599,2016
"UTRGV",0.4592,2016
"Boston University",0.459,2016
"High Point",0.4584,2016
"Mercer",0.4581,2016
"Colgate",0.4581,2016
"Weber St.",0.4572,2016
"Southern Utah",0.4556,2016
"Eastern Illinois",0.4551,2016
"Samford",0.4549,2016
"Texas St.",0.4548,2016
"New Hampshire",0.4544,2016
"Robert Morris",0.4543,2016
"Tennessee St.",0.4541,2016
"Incarnate Word",0.4536,2016
"Winthrop",0.4526,2016
"UTEP",0.4525,2016
"Norfolk St.",0.4525,2016
"UC Riverside",0.4524,2016
"Albany",0.4522,2016
"Bryant",0.452,2016
"Stetson",0.4519,2016
"Cal St. Bakersfield",0.4519,2016
"USC Upstate",0.4517,2016
"Nicholls St.",0.4504,2016
"Mount St. Mary's",0.45,2016
"Fairleigh Dickinson",0.4493,2016
"North Florida",0.4491,2016
"Maine",0.4489,2016
"Seattle",0.4486,2016
"Portland St.",0.4484,2016
"The Citadel",0.4481,2016
"Longwood",0.4474,2016
"St. Francis PA",0.4466,2016
"Sacramento St.",0.446,2016
"UTSA",0.4457,2016
"Presbyterian",0.4447,2016
"Sacred Heart",0.4436,2016
"Arkansas Pine Bluff",0.4434,2016
"Navy",0.4433,2016
"Texas Southern",0.4427,2016
"Army",0.4419,2016
"Hampton",0.4418,2016
"UMBC",0.4411,2016
"Maryland Eastern Shore",0.441,2016
"Coppin St.",0.4409,2016
"Morgan St.",0.4386,2016
"Delaware St.",0.4385,2016
"Mississippi Valley St.",0.4384,2016
"Tennessee Martin",0.4384,2016
"Idaho",0.437,2016
"Prairie View A&M",0.4369,2016
"Montana St.",0.4367,2016
"Eastern Washington",0.4363,2016
"South Carolina St.",0.4359,2016
"Wagner",0.4351,2016
"Campbell",0.4349,2016
"Northwestern St.",0.4344,2016
"Jackson St.",0.4334,2016
"Alabama St.",0.4328,2016
"Grambling St.",0.428,2016
"Abilene Christian",0.4251,2016
"Central Arkansas",0.425,2016
"Alcorn St.",0.4247,2016
"St. Francis NY",0.4246,2016
"Southern",0.4234,2016
"Jacksonville",0.4231,2016
"Howard",0.423,2016
"Savannah St.",0.4212,2016
"Idaho St.",0.4187,2016
"Lamar",0.4186,2016
"North Carolina Central",0.4186,2016
"Bethune Cookman",0.4177,2016
"McNeese St.",0.4167,2016
"Southeastern Louisiana",0.4159,2016
"Central Connecticut",0.414,2016
"LIU Brooklyn",0.4137,2016
"North Carolina A&T",0.4078,2016
"New Orleans",0.4072,2016
"Florida A&M",0.406,2016
"North Carolina",0.6075,2017
"Vanderbilt",0.6063,2017
"Louisville",0.6041,2017
"Baylor",0.601,2017
"Virginia",0.6001,2017
"Kentucky",0.5978,2017
"Florida",0.5977,2017
"Xavier",0.5967,2017
"Duke",0.5956,2017
"Butler",0.5956,2017
"Michigan St.",0.592,2017
"Pittsburgh",0.5905,2017
"Nebraska",0.5904,2017
"Kansas",0.5897,2017
"Oklahoma St.",0.5882,2017
"Iowa St.",0.5882,2017
"Texas",0.5882,2017
"Georgia",0.5874,2017
"Michigan",0.5843,2017
"Arizona",0.5839,2017
"Florida St.",0.5822,2017
"Minnesota",0.5817,2017
"South Carolina",0.5813,2017
"Wake Forest",0.5798,2017
"Illinois",0.5797,2017
"Oregon",0.5793,2017
"Tennessee",0.5792,2017
"Notre Dame",0.5775,2017
"Villanova",0.5758,2017
"Clemson",0.5755,2017
"TCU",0.574,2017
"Stanford",0.5734,2017
"Oklahoma",0.5712,2017
"Kansas St.",0.5696,2017
"Georgetown",0.5689,2017
"West Virginia",0.5686,2017
"Purdue",0.5679,2017
"Penn St.",0.5665,2017
"Miami FL",0.5664,2017
"Creighton",0.5655,2017
"Arkansas",0.5649,2017
"Indiana",0.564,2017
"Seton Hall",0.5616,2017
"LSU",0.5614,2017
"Maryland",0.561,2017
"Rhode Island",0.5604,2017
"Boston College",0.559,2017
"California",0.5589,2017
"Northwestern",0.5586,2017
"Providence",0.5582,2017
"VCU",0.5578,2017
"Wisconsin",0.5577,2017
"Washington",0.5574,2017
"Texas A&M",0.5571,2017
"Marquette",0.5571,2017
"Ohio St.",0.5569,2017
"Syracuse",0.5564,2017
"Georgia Tech",0.5552,2017
"Cincinnati",0.5552,2017
"Iowa",0.5548,2017
"USC",0.5541,2017
"St. John's",0.5537,2017
"Gonzaga",0.5531,2017
"Washington St.",0.5521,2017
"Arizona St.",0.552,2017
"Connecticut",0.5517,2017
"Virginia Tech",0.551,2017
"Mississippi",0.5502,2017
"North Carolina St.",0.5501,2017
"Saint Mary's",0.5498,2017
"UCLA",0.5497,2017
"Alabama",0.549,2017
"Dayton",0.5465,2017
"Oregon St.",0.5443,2017
"New Mexico",0.542,2017
"SMU",0.5417,2017
"Davidson",0.5396,2017
"Tulsa",0.5384,2017
"Houston",0.5383,2017
"DePaul",0.5383,2017
"Colorado St.",0.5364,2017
"Missouri",0.5352,2017
"BYU",0.5347,2017
"Colorado",0.5305,2017
"Richmond",0.5304,2017
"Santa Clara",0.5303,2017
"UCF",0.5295,2017
"Mississippi St.",0.5293,2017
"Temple",0.5291,2017
"Boise St.",0.5281,2017
"La Salle",0.5277,2017
"Saint Joseph's",0.527,2017
"Pacific",0.5266,2017
"Utah St.",0.5257,2017
"Texas Tech",0.5251,2017
"Fresno St.",0.5248,2017
"Northern Iowa",0.5248,2017
"Rutgers",0.5241,2017
"Utah",0.5225,2017
"Siena",0.5225,2017
"Pepperdine",0.5224,2017
"Auburn",0.5208,2017
"Loyola Marymount",0.5206,2017
"San Diego St.",0.5202,2017
"Nevada",0.5199,2017
"Southern Illinois",0.5198,2017
"UTA",0.5197,2017
"Eastern Michigan",0.5175,2017
"Wichita St.",0.517,2017
"Air Force",0.5169,2017
"William & Mary",0.5163,2017
"Illinois St.",0.5162,2017
"Evansville",0.5156,2017
"George Washington",0.5155,2017
"UNC Wilmington",0.515,2017
"San Francisco",0.5148,2017
"UNLV",0.5146,2017
"St. Bonaventure",0.5144,2017
"Portland",0.5141,2017
"San Jose St.",0.5134,2017
"Massachusetts",0.5126,2017
"Towson",0.5123,2017
"Charleston",0.512,2017
"Tulane",0.5119,2017
"Northeastern",0.5109,2017
"Coastal Carolina",0.5108,2017
"George Mason",0.5108,2017
"Marshall",0.5107,2017
"Memphis",0.51,2017
"Toledo",0.5094,2017
"Fordham",0.5091,2017
"Middle Tennessee",0.5083,2017
"San Diego",0.5076,2017
"Oral Roberts",0.5075,2017
"Buffalo",0.5074,2017
"Bradley",0.5071,2017
"Cal St. Bakersfield",0.5066,2017
"South Dakota St.",0.5065,2017
"Saint Louis",0.5053,2017
"Cleveland St.",0.5051,2017
"UMKC",0.5051,2017
"Princeton",0.5049,2017
"Indiana St.",0.5046,2017
"Iona",0.5044,2017
"Mercer",0.5044,2017
"Chicago St.",0.5039,2017
"Akron",0.5037,2017
"Wyoming",0.5036,2017
"Western Michigan",0.5034,2017
"Wofford",0.5028,2017
"Duquesne",0.5027,2017
"James Madison",0.5013,2017
"Drake",0.5007,2017
"Western Carolina",0.4996,2017
"Georgia St.",0.4996,2017
"East Carolina",0.4973,2017
"Marist",0.4972,2017
"Bowling Green",0.4961,2017
"Louisiana Monroe",0.496,2017
"Georgia Southern",0.4955,2017
"East Tennessee St.",0.4951,2017
"Appalachian St.",0.4951,2017
"Vermont",0.4948,2017
"Morehead St.",0.4946,2017
"North Florida",0.4942,2017
"Hofstra",0.4942,2017
"Saint Peter's",0.4942,2017
"South Florida",0.4937,2017
"Monmouth",0.4926,2017
"Bucknell",0.4924,2017
"Detroit",0.4924,2017
"UC Santa Barbara",0.4923,2017
"Milwaukee",0.4921,2017
"Wright St.",0.4918,2017
"VMI",0.4917,2017
"Louisiana Lafayette",0.4907,2017
"Mount St. Mary's",0.4902,2017
"Kent St.",0.4901,2017
"Utah Valley",0.4901,2017
"Belmont",0.49,2017
"Manhattan",0.49,2017
"Delaware",0.4896,2017
"UC Irvine",0.4889,2017
"Lehigh",0.4888,2017
"South Alabama",0.4882,2017
"Nebraska Omaha",0.4879,2017
"Furman",0.4876,2017
"North Dakota St.",0.4871,2017
"Valparaiso",0.4871,2017
"Northern Kentucky",0.4867,2017
"Ohio",0.4867,2017
"Cornell",0.4862,2017
"Old Dominion",0.4861,2017
"Elon",0.4857,2017
"UNC Asheville",0.4856,2017
"UAB",0.4846,2017
"McNeese St.",0.4844,2017
"Long Beach St.",0.4832,2017
"Loyola Chicago",0.4832,2017
"Samford",0.4831,2017
"Miami (OH)",0.483,2017
"Canisius",0.483,2017
"Chattanooga",0.4829,2017
"New Hampshire",0.482,2017
"Penn",0.4818,2017
"Radford",0.4818,2017
"Eastern Kentucky",0.4816,2017
"UNC Greensboro",0.4814,2017
"Troy",0.4813,2017
"Albany",0.481,2017
"UTEP",0.4802,2017
"Navy",0.4801,2017
"Liberty",0.4799,2017
"New Mexico St.",0.4799,2017
"Houston Baptist",0.4795,2017
"Quinnipiac",0.4793,2017
"Winthrop",0.4789,2017
"Yale",0.4787,2017
"Missouri St.",0.4787,2017
"Arkansas St.",0.4786,2017
"Fairfield",0.4785,2017
"UTRGV",0.4782,2017
"Youngstown St.",0.4782,2017
"IUPUI",0.4781,2017
"Tennessee St.",0.4773,2017
"Maine",0.4767,2017
"Green Bay",0.476,2017
"Charlotte",0.4758,2017
"Harvard",0.4753,2017
"Florida Gulf Coast",0.4751,2017
"The Citadel",0.475,2017
"Austin Peay",0.4749,2017
"Florida Atlantic",0.4746,2017
"Loyola MD",0.4744,2017
"Boston University",0.4741,2017
"South Dakota",0.4736,2017
"Jacksonville St.",0.4735,2017
"Holy Cross",0.4734,2017
"Oakland",0.4732,2017
"Niagara",0.4731,2017
"Central Arkansas",0.473,2017
"American",0.4725,2017
"Dartmouth",0.4715,2017
"UMBC",0.4714,2017
"IPFW",0.4706,2017
"Stony Brook",0.47,2017
"Central Michigan",0.4693,2017
"Drexel",0.4685,2017
"Louisiana Tech",0.4679,2017
"Gardner Webb",0.4667,2017
"Texas St.",0.4664,2017
"FIU",0.4656,2017
"Illinois Chicago",0.4651,2017
"Stephen F. Austin",0.465,2017
"Northern Illinois",0.4648,2017
"Texas A&M Corpus Chris",0.4647,2017
"Grand Canyon",0.4638,2017
"Weber St.",0.4635,2017
"High Point",0.463,2017
"Incarnate Word",0.4629,2017
"Arkansas Little Rock",0.4627,2017
"Army",0.4626,2017
"Tennessee Tech",0.4624,2017
"Seattle",0.4621,2017
"New Orleans",0.4619,2017
"Western Illinois",0.4618,2017
"Idaho St.",0.4614,2017
"NJIT",0.4613,2017
"Murray St.",0.4608,2017
"Ball St.",0.4607,2017
"Western Kentucky",0.4604,2017
"UTSA",0.4603,2017
"SIU Edwardsville",0.4597,2017
"Charleston Southern",0.4596,2017
"Lipscomb",0.4595,2017
"Nicholls St.",0.459,2017
"Bryant",0.4586,2017
"Colgate",0.4585,2017
"Columbia",0.4585,2017
"Presbyterian",0.4585,2017
"Robert Morris",0.4582,2017
"North Texas",0.4577,2017
"Rice",0.4575,2017
"Lafayette",0.4575,2017
"North Dakota",0.4573,2017
"Southern Miss",0.4573,2017
"Fairleigh Dickinson",0.4572,2017
"Montana",0.4567,2017
"Campbell",0.456,2017
"Tennessee Martin",0.4555,2017
"Texas Southern",0.4553,2017
"UMass Lowell",0.455,2017
"Denver",0.4536,2017
"Cal Poly",0.4535,2017
"Binghamton",0.453,2017
"USC Upstate",0.4526,2017
"UC Davis",0.4524,2017
"Northern Colorado",0.4519,2017
"Sam Houston St.",0.4519,2017
"Eastern Washington",0.4514,2017
"Southern Utah",0.451,2017
"Longwood",0.4503,2017
"UC Riverside",0.45,2017
"Rider",0.4497,2017
"Brown",0.449,2017
"Idaho",0.4476,2017
"Hartford",0.4444,2017
"Montana St.",0.4442,2017
"Abilene Christian",0.4441,2017
"Mississippi Valley St.",0.4436,2017
"South Carolina St.",0.4434,2017
"Hawaii",0.4425,2017
"Kennesaw St.",0.4413,2017
"Cal St. Northridge",0.4404,2017
"Northern Arizona",0.4386,2017
"Stetson",0.4375,2017
"Sacramento St.",0.4358,2017
"Southeast Missouri St.",0.4352,2017
"Prairie View A&M",0.4352,2017
"Maryland Eastern Shore",0.4327,2017
"St. Francis NY",0.4327,2017
"Eastern Illinois",0.4325,2017
"Lamar",0.4321,2017
"Southeastern Louisiana",0.4313,2017
"Norfolk St.",0.4302,2017
"Northwestern St.",0.4295,2017
"Wagner",0.4292,2017
"Coppin St.",0.4285,2017
"Sacred Heart",0.4279,2017
"Hampton",0.4273,2017
"St. Francis PA",0.4272,2017
"Portland St.",0.4267,2017
"Alcorn St.",0.4242,2017
"Howard",0.4235,2017
"Savannah St.",0.4227,2017
"Arkansas Pine Bluff",0.4204,2017
"Alabama St.",0.4192,2017
"Cal St. Fullerton",0.4154,2017
"LIU Brooklyn",0.4149,2017
"Central Connecticut",0.4122,2017
"Delaware St.",0.4121,2017
"North Carolina A&T",0.4114,2017
"Southern",0.3989,2017
"Jacksonville",0.3986,2017
"Jackson St.",0.3984,2017
"Grambling St.",0.3945,2017
"Bethune Cookman",0.394,2017
"Alabama A&M",0.3909,2017
"Morgan St.",0.3878,2017
"North Carolina Central",0.3875,2017
"Florida A&M",0.379,2017
"Kansas",0.6151,2018
"North Carolina",0.6163,2018
"Kentucky",0.5978,2018
"Vanderbilt",0.5905,2018
"Texas A&M",0.5954,2018
"St. John's",0.584,2018
"Virginia",0.5888,2018
"Xavier",0.5813,2018
"TCU",0.5882,2018
"Temple",0.5833,2018
"Mississippi",0.5798,2018
"Alabama",0.6003,2018
"Oklahoma",0.5773,2018
"Seton Hall",0.5788,2018
"Wake Forest",0.5649,2018
"Tennessee",0.5863,2018
"Texas",0.5847,2018
"Missouri",0.5693,2018
"Providence",0.5868,2018
"Marquette",0.5723,2018
"Villanova",0.5963,2018
"Butler",0.5839,2018
"Duke",0.588,2018
"Clemson",0.5934,2018
"Pittsburgh",0.5699,2018
"Stanford",0.5658,2018
"South Carolina",0.5697,2018
"Baylor",0.5801,2018
"Syracuse",0.5898,2018
"Connecticut",0.5654,2018
"Iowa St.",0.5627,2018
"Arizona",0.5599,2018
"Ohio St.",0.5817,2018
"Wisconsin",0.5694,2018
"Florida",0.5795,2018
"Auburn",0.5647,2018
"Notre Dame",0.5562,2018
"Dayton",0.5447,2018
"USC",0.5644,2018
"LSU",0.5642,2018
"Washington",0.5593,2018
"Louisville",0.5861,2018
"Nevada",0.5607,2018
"West Virginia",0.5786,2018
"Creighton",0.5578,2018
"Maryland",0.5635,2018
"Purdue",0.5701,2018
"Arkansas",0.5669,2018
"Colorado",0.5665,2018
"Georgia",0.5587,2018
"Georgia Tech",0.5599,2018
"Wichita St.",0.5669,2018
"Rhode Island",0.5539,2018
"Texas Tech",0.5724,2018
"Arizona St.",0.5461,2018
"North Carolina St.",0.5477,2018
"Illinois St.",0.5567,2018
"Florida St.",0.5614,2018
"Richmond",0.5401,2018
"Iowa",0.5477,2018
"California",0.5482,2018
"Utah",0.5578,2018
"Miami FL",0.5621,2018
"Northern Iowa",0.5457,2018
"SMU",0.5469,2018
"Cincinnati",0.5625,2018
"UCLA",0.5613,2018
"UCF",0.5429,2018
"Oklahoma St.",0.5594,2018
"Washington St.",0.5472,2018
"Indiana",0.5416,2018
"Kansas St.",0.5589,2018
"Buffalo",0.5455,2018
"Wyoming",0.5239,2018
"Minnesota",0.526,2018
"Boston College",0.5475,2018
"Michigan St.",0.5412,2018
"Indiana St.",0.5356,2018
"Virginia Tech",0.5438,2018
"DePaul",0.5458,2018
"Illinois",0.5416,2018
"Northwestern",0.5328,2018
"Houston",0.5486,2018
"Saint Louis",0.5236,2018
"Michigan",0.5765,2018
"Rutgers",0.5336,2018
"La Salle",0.5165,2018
"Tulsa",0.5278,2018
"Western Kentucky",0.5491,2018
"Oregon",0.5419,2018
"George Washington",0.5126,2018
"Middle Tennessee",0.538,2018
"Penn St.",0.5509,2018
"Pacific",0.5136,2018
"Memphis",0.5164,2018
"Nebraska",0.5336,2018
"Utah St.",0.5169,2018
"Kent St.",0.5203,2018
"Tulane",0.5231,2018
"North Dakota",0.5129,2018
"Mississippi St.",0.5394,2018
"VCU",0.5225,2018
"Southern Illinois",0.5206,2018
"UC Irvine",0.5215,2018
"St. Bonaventure",0.5333,2018
"Evansville",0.5197,2018
"Boise St.",0.5144,2018
"New Mexico",0.5241,2018
"Miami (OH)",0.509,2018
"Monmouth",0.5172,2018
"San Jose St.",0.5142,2018
"San Diego St.",0.5274,2018
"Oral Roberts",0.4979,2018
"Oregon St.",0.5365,2018
"Hofstra",0.4963,2018
"Northeastern",0.5204,2018
"Missouri St.",0.5151,2018
"Georgetown",0.5229,2018
"San Francisco",0.5182,2018
"Valparaiso",0.5074,2018
"Colorado St.",0.5159,2018
"Davidson",0.5365,2018
"William & Mary",0.5197,2018
"Omaha",0.4985,2018
"Sacramento St.",0.5001,2018
"Saint Joseph's",0.5131,2018
"Saint Mary's",0.4999,2018
"UMass",0.4985,2018
"Fresno St.",0.5074,2018
"UMKC",0.5014,2018
"Drake",0.5039,2018
"Ohio",0.5079,2018
"Gonzaga",0.5256,2018
"Morehead St.",0.4998,2018
"Portland",0.4993,2018
"Toledo",0.5179,2018
"George Mason",0.4933,2018
"Drexel",0.4899,2018
"Southern Miss",0.5071,2018
"Siena",0.4886,2018
"Cal St. Bakersfield",0.51,2018
"Chicago St.",0.5008,2018
"Northern Colorado",0.4916,2018
"New Mexico St.",0.4939,2018
"Fordham",0.4939,2018
"Bradley",0.5091,2018
"UNCW",0.5135,2018
"Furman",0.4905,2018
"Detroit",0.4783,2018
"Elon",0.4997,2018
"Utah Valley",0.5013,2018
"Cal St. Fullerton",0.4839,2018
"Fairfield",0.4819,2018
"Savannah St.",0.4845,2018
"Loyola Chicago",0.5362,2018
"Coastal Carolina",0.4777,2018
"Western Michigan",0.4989,2018
"Air Force",0.493,2018
"Long Beach St.",0.499,2018
"Eastern Washington",0.4931,2018
"Louisiana Tech",0.499,2018
"Pepperdine",0.5061,2018
"Louisiana Monroe",0.4737,2018
"BYU",0.5167,2018
"Western Carolina",0.4985,2018
"Northern Arizona",0.4935,2018
"Vermont",0.4879,2018
"Tennessee St.",0.4901,2018
"Eastern Michigan",0.5001,2018
"South Dakota St.",0.4975,2018
"Little Rock",0.4858,2018
"FAU",0.4758,2018
"Loyola Marymount",0.4894,2018
"James Madison",0.4914,2018
"Delaware",0.4884,2018
"North Dakota St.",0.4845,2018
"Northern Illinois",0.5007,2018
"North Florida",0.4841,2018
"Louisiana",0.4797,2018
"Texas Southern",0.4614,2018
"Ball St.",0.4952,2018
"Santa Clara",0.4848,2018
"Rider",0.4961,2018
"The Citadel",0.4814,2018
"Harvard",0.4914,2018
"UC Davis",0.4858,2018
"Princeton",0.4706,2018
"Towson",0.4915,2018
"Akron",0.4957,2018
"Iona",0.4984,2018
"Portland St.",0.4713,2018
"Rice",0.4806,2018
"Stony Brook",0.4969,2018
"South Florida",0.4871,2018
"UTSA",0.474,2018
"UNC Asheville",0.486,2018
"Belmont",0.4879,2018
"East Carolina",0.4928,2018
"Samford",0.4785,2018
"UNCG",0.4855,2018
"Bucknell",0.4835,2018
"Austin Peay",0.4884,2018
"VMI",0.4612,2018
"Cal Poly",0.4776,2018
"Southern Utah",0.483,2018
"Denver",0.4671,2018
"East Tennessee St.",0.4838,2018
"Charleston",0.4888,2018
"North Texas",0.4881,2018
"Mercer",0.4823,2018
"Bowling Green",0.4875,2018
"Lipscomb",0.4738,2018
"Charlotte",0.4809,2018
"Murray St.",0.4923,2018
"Radford",0.4769,2018
"Oakland",0.463,2018
"SIUE",0.4663,2018
"San Diego",0.5005,2018
"Appalachian St.",0.4581,2018
"Wofford",0.488,2018
"Youngstown St.",0.4664,2018
"UNLV",0.4998,2018
"Gardner Webb",0.478,2018
"UTA",0.4917,2018
"UTRGV",0.4717,2018
"Troy",0.4916,2018
"UTEP",0.4796,2018
"Marshall",0.5066,2018
"Kennesaw St.",0.4646,2018
"Chattanooga",0.4769,2018
"Central Michigan",0.4945,2018
"Marist",0.4721,2018
"Old Dominion",0.482,2018
"Canisius",0.4649,2018
"Eastern Illinois",0.4722,2018
"Eastern Kentucky",0.4725,2018
"UC Riverside",0.4742,2018
"Nicholls St.",0.4657,2018
"Wright St.",0.4762,2018
"Fairleigh Dickinson",0.4603,2018
"Northern Kentucky",0.4723,2018
"Hawaii",0.474,2018
"Yale",0.4651,2018
"Houston Baptist",0.4494,2018
"UAB",0.4909,2018
"Columbia",0.4633,2018
"FIU",0.4559,2018
"Winthrop",0.4638,2018
"Southeast Missouri",0.4556,2018
