"ADJOE","ADJDE","BARTHAG","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","X2P_O","X2P_D","X3P_O","X3P_D","ADJ_T","WAB","SOS","WR"
110.1,107.6,0.5648,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36,52.2,49.2,39.3,38.7,68.5,-2.6,0.4812,0.71875
107.6,92.6,0.8482,48.5,44.4,19.2,16.7,32.2,28.5,47.7,34.3,47.2,43.2,34.2,31.2,64.8,1.6,0.5619,0.636363636363636
94.8,102.3,0.2939,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,45.6,44.5,30.4,33.9,69.6,-12.6,0.4461,0.485714285714286
102.4,94.9,0.7057,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34,61.6,-1.3,0.5087,0.714285714285714
119.5,103,0.8473,54.4,50.3,17.2,15.9,35.3,31.5,32.7,32.8,50.2,50.9,40.6,32.5,67.2,-0.3,0.5693,0.588235294117647
116.9,95.6,0.9103,54.3,47.6,15.8,18.5,28.3,29.6,36.5,24,54.3,45.2,36.2,34.7,69.8,7,0.5827,0.735294117647059
109.8,114.5,0.3839,55.8,53.5,17.1,16.8,27.7,34.5,30.4,27.5,52.8,51.5,40.8,38,65.1,-7.1,0.4967,0.59375
107.8,92.8,0.8477,50.3,44.6,20.2,19.1,33.9,32.9,33.5,29.4,50.1,43.9,33.9,30.9,70.1,0.5,0.5335,0.666666666666667
112.2,99.2,0.8037,47.8,47.6,16.5,18.7,34.8,31.4,36.1,41.2,46.8,43.6,33.2,35.8,66.6,-0.5,0.5554,0.617647058823529
103.9,98.1,0.6613,50.6,46.4,21.8,20.6,39.3,31,44.3,32.5,49.3,46.4,36.2,30.8,64,-4.5,0.4792,0.65625
100.8,100.7,0.5035,49.7,48.1,16,16.5,26.1,23.7,35.7,30.7,45.5,45,38.2,36.2,61.5,-3.9,0.4737,0.67741935483871
107,101,0.6586,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25,53,49.1,38.6,34.4,63.6,-4.6,0.4893,0.657142857142857
110.7,95.4,0.8469,50.2,46.5,18.5,21.1,26.9,32.6,39,42.1,49.2,44.1,34.6,34.4,64,0.2,0.5764,0.548387096774194
111.6,93.7,0.8821,48.4,48.2,18.1,19.7,35.2,29,40.7,39.3,48.9,47.1,31.3,33.3,65.7,3.7,0.5894,0.647058823529412
110.5,93.9,0.8654,50.3,45.4,19.9,17.6,36.5,30.9,41.7,38.4,50.9,42.3,32.7,35.1,65,1,0.5517,0.617647058823529
100.7,103.3,0.4286,50.1,49.3,19.8,21.8,31,35.9,35.5,37.6,47.4,48.3,37.5,34.1,66,-8.6,0.4845,0.571428571428571
111.1,94.6,0.8635,52.1,45.7,19.5,20.3,36.6,29.2,43.8,31.2,51.3,42.9,36.3,32.7,63.6,3.1,0.5583,0.787878787878788
110.6,94.7,0.8569,49.3,46.4,15.7,19.5,27.6,35.4,35.7,33.3,48.2,44.9,34.5,32.6,67,2.3,0.5704,0.625
111,98.8,0.7919,55.6,49,20.3,24.5,37.6,29.6,41.9,49.1,55.4,48.3,37.3,33.7,66.4,1.2,0.4933,0.838709677419355
110.3,90.7,0.9048,49.1,42.1,20.1,14,37.9,28.6,36.6,34.8,48.3,37.7,33.8,34.7,62.8,0.9,0.5769,0.588235294117647
101.9,108.1,0.3371,49.5,49.3,19.7,18.7,33.8,34.6,46.8,33.1,50,48.5,32.2,34.4,63.7,-4.5,0.4608,0.628571428571429
105.1,96.8,0.7202,50.7,44.7,18.2,17.2,30,30.7,30.2,35.3,47.8,42.4,38.2,33.6,63.9,-4.6,0.5043,0.59375
105,94.5,0.7706,51.3,45.2,19,18.6,34.7,27.4,36.6,33.4,48,42.3,38.4,33.4,63.1,0.1,0.4775,0.806451612903226
108.4,94,0.8373,48.7,49.5,15.7,23.5,31.8,30.6,37.3,37.8,46.9,48.3,34.3,34.5,67.2,3,0.5793,0.722222222222222
102.3,96.8,0.6547,51.1,47,17.2,20,29.4,27.7,37.6,36.4,49.1,47.3,36.8,30.9,61.2,0.2,0.4874,0.787878787878788
102.1,98.2,0.6121,52.2,47,18.8,17.9,22,27,40.4,27,54.4,44,32.6,34.9,59.2,-1.6,0.5018,0.696969696969697
109.5,96,0.821,53.2,47.6,16.1,19.4,27.8,25.6,32.4,31.6,49.6,48.1,38.9,31.3,63.4,0.2,0.517,0.71875
118.3,100.3,0.8699,53.2,49.6,16.4,17.7,33.4,28.4,42.5,39.2,50.2,49.6,39,33.1,70.8,0.8,0.5413,0.696969696969697
100.2,99.4,0.5238,49.4,48.1,21.1,23.9,30.9,33.1,47.4,52.3,48.8,48,33.6,32.4,68,-7.6,0.4577,0.575757575757576
105.2,105,0.5063,53.6,47.9,18.3,17.9,29.2,31.8,39.7,34.1,51.1,48.3,38.1,31.3,67.5,-5.1,0.4382,0.625
119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40,31.2,35.2,37.8,50.9,45.6,35.8,30,69.9,6.5,0.6205,0.684210526315789
114.1,96.8,0.8684,49.3,45.5,16,14.9,33.9,30.2,35.3,34.7,47.3,43.6,35.6,33,64.7,1.1,0.5984,0.611111111111111
111.6,88.5,0.9349,49.3,44.1,17.6,19.7,31.5,31.4,32.8,28.4,48.2,42.2,34.3,31.7,67.5,4.5,0.587,0.685714285714286
111.8,96.6,0.8425,49.6,48.5,17.6,17.9,33.8,28.6,35.7,32.3,47.4,45.4,36.8,35.6,66.8,0,0.5785,0.611111111111111
114.9,88.7,0.9513,55.2,43,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,0.5797,0.735294117647059
110.3,93.3,0.8733,46.1,52.7,18.7,28,40.1,31.1,40.4,55.5,45.5,51.8,31.6,36.5,68.6,4.1,0.5769,0.714285714285714
114.3,91.5,0.9277,50.3,45.8,15,21.3,34.5,27.4,36.2,36.6,48.9,42.6,35.4,35.3,62.6,4.2,0.5425,0.852941176470588
115.7,95.1,0.9049,53.3,50,18.1,18.8,31.3,27.3,38.5,33.3,53.7,48.9,35.1,34.6,65.5,1.3,0.5912,0.621621621621622
116.1,95.7,0.9022,53.6,46.2,18.2,16,35,24.9,43.8,29.3,52.2,45.7,38.1,31.6,69.1,3.4,0.544,0.735294117647059
107.6,96.7,0.7732,51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,63.8,2.1,0.4828,0.848484848484849
103.4,109.1,0.3501,51.3,53.8,20.2,18.6,31.9,30,47,31.3,51,53.3,34.7,36.4,70.5,-11.3,0.4844,0.470588235294118
119.3,99.2,0.8924,51.6,51.2,18.6,19.8,40,28.8,38.6,38.6,49.8,49.1,37.4,36.9,67.4,3.5,0.5906,0.636363636363636
105.1,102.4,0.5746,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,49,48.8,33.7,34.3,72.9,-5.8,0.5396,0.558823529411765
118.2,98.6,0.8899,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,69.2,2,0.5511,0.666666666666667
103.4,95.7,0.7106,49.3,45.2,18.2,21.5,34.1,29.7,38,42.1,48.5,42.8,34.3,33.4,68.4,-3.5,0.4519,0.7
112.4,92.8,0.9006,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,68.8,2.2,0.5811,0.676470588235294
105.6,100.8,0.6286,51.7,50.5,18,20.2,32.3,29,41.6,30.9,50.7,50.5,35.6,33.7,67.3,0.4,0.4825,0.818181818181818
110,93.5,0.866,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27,47.7,41.3,34.8,35.7,66,0.3,0.5467,0.666666666666667
107.8,95.2,0.8072,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,69.9,0.7,0.5607,0.636363636363636
110.5,93.4,0.8732,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42,36.5,32.6,66.9,1.2,0.5595,0.694444444444444
105.5,92.6,0.8184,51.6,46.9,18.6,18,28.7,24.2,40.8,32.8,51.5,43.7,34.4,34.9,68.5,2.4,0.5534,0.757575757575758
121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51,48.9,38.5,34,68.7,4.2,0.5995,0.694444444444444
103,115.6,0.209,51.2,52.4,17.7,21,28.4,35.8,33.3,46.9,49.5,52.1,36.4,35.4,72.5,-9.9,0.4493,0.53125
102.9,102.4,0.5136,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68,-8.4,0.466,0.548387096774194
106.3,100.1,0.6646,48.4,48.8,15.1,21,30,29.7,37.7,46.4,47,48.4,34.4,33,69.8,-0.9,0.5182,0.696969696969697
117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,0.5329,0.771428571428571
106.9,104.2,0.5729,49.8,51.5,15.8,21.1,30.9,32,42.2,35.8,48.5,50,35,36.3,77.3,-4.5,0.4871,0.617647058823529
98.2,107.5,0.2615,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,47.3,47.5,30.5,33.8,71.9,-6.3,0.4418,0.645161290322581
106.9,95,0.7945,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30,71.4,0.8,0.4846,0.8125
96.7,106.9,0.2398,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,47.2,52.8,32.6,35.7,64.6,-14.5,0.461,0.428571428571429
121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49,41.6,34.3,69.5,3.2,0.552,0.771428571428571
109.1,102.1,0.6822,53.8,48.8,17.6,19.2,29.2,31,32.4,36.3,52.5,46,37,35.8,72.6,-3.6,0.5011,0.666666666666667
114.4,95.8,0.8853,51.3,48,14.8,18.8,31.9,31.3,33,25,48.7,48.7,37.4,31.3,69.8,2,0.5715,0.666666666666667
121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,0.5924,0.657142857142857
120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,0.6021,0.864864864864865
123.2,95.1,0.9517,53.5,44.5,16.2,18,37.5,31.9,37.8,40.8,52.9,42.7,36.6,32.6,68.2,5,0.5774,0.75
114.9,96.3,0.8839,55.2,46.5,18.9,16.4,29.1,29.9,37,27,55.8,45.5,36.2,32.1,67.9,4,0.5776,0.742857142857143
119.4,96.5,0.9203,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,67,6.9,0.5902,0.771428571428571
113.4,99.4,0.82,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27,52.6,51.1,38,34.7,66.3,0.8,0.5591,0.628571428571429
122.5,96,0.9428,56.3,43.3,17.6,14.2,37.1,24.3,30,34.1,51.4,41.7,43.4,31,67.6,7.2,0.5566,0.828571428571429
103.9,99.5,0.6224,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,47.8,48,39.2,34.7,68.5,-3.2,0.5103,0.696969696969697
123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,0.5915,0.825
109.7,96.7,0.8109,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,63.7,-2.1,0.5389,0.628571428571429
118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,2.3,0.5838,0.666666666666667
118.2,94.1,0.9326,54.3,47.2,18.3,17.7,31.2,30.5,33,28.3,48.2,45.3,42.2,33.7,70.8,8,0.5995,0.783783783783784
118.4,96.2,0.9163,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32,52.6,46.1,34.4,36.2,69,6.7,0.5968,0.810810810810811
109.9,98.1,0.788,49.8,49.5,16.6,19.5,29,32.2,36.8,39.3,46.9,50,37.4,32.4,68,0.3,0.583,0.580645161290323
113.9,96.9,0.8659,51.1,50,17.5,16.9,36.9,27.5,36.1,32.4,50.4,48.4,35,35.4,66.3,1.8,0.5721,0.625
108.7,95.4,0.8193,48,49.3,16.1,20.6,30.4,30.3,37.3,28,48,49.8,32.1,32.3,69.3,3.4,0.563,0.685714285714286
117.2,93.4,0.9316,53.6,44.3,17.7,13.7,35,23.4,35.4,28.1,52.8,42.9,36.7,31.4,68.9,4.4,0.5669,0.742857142857143
114.2,97.6,0.86,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25,52.3,49.2,32.7,31.1,70.9,3.4,0.5609,0.777777777777778
110.8,91.4,0.9014,49.8,45.4,19.4,19.5,34.7,30.8,40.4,33.8,48.8,44.3,34.7,31.7,70.4,5.3,0.5661,0.735294117647059
110.5,101.1,0.737,51.3,48,17.1,17.2,32.4,25.5,40.2,40.2,49.7,47.1,36.1,33.3,69.2,-1.2,0.5109,0.75
98.9,106.2,0.3065,48.5,47.9,16.3,19.6,28.1,31.2,38.1,39.9,47.6,47.7,33.8,32.2,69.5,-8.1,0.4234,0.59375
110.3,96.5,0.8235,54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,54.5,49.7,36.9,32.8,68.2,-1.2,0.4779,0.8
104.6,99.2,0.648,52.2,47.6,17.3,18.4,34.8,26,32.2,27.6,50.7,45.8,37.2,34.1,67.8,-1.1,0.4871,0.774193548387097
111.9,93.6,0.8857,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,65.5,-0.3,0.5808,0.621621621621622
106.3,97.4,0.7318,47,46.4,13.8,16.2,29.1,29.7,26.6,28.7,44.9,46.3,33.7,31.2,66.5,-0.1,0.5438,0.636363636363636
112.2,95.6,0.8627,49.4,47.7,15.4,18.5,30.7,32,39.5,38.4,48.5,45.8,34.1,34.5,66.3,3.2,0.5926,0.606060606060606
113,92.2,0.9126,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,68.4,5.2,0.5602,0.756756756756757
113.1,98.9,0.8227,50,49.6,17.8,19,31.3,32.3,42.2,32.9,49.2,47.2,34.6,35.6,67.2,1.3,0.584,0.59375
109.5,99.6,0.7486,50.3,48.2,15.6,20.4,28,30.5,39.6,34.6,51.1,45,32.6,35.9,69.4,-1.2,0.5449,0.625
101.2,99.4,0.5487,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33,50.2,52.1,32.1,29.6,71,-6.3,0.4813,0.625
109.5,100.9,0.7186,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,51,46.1,34.4,33.9,71.3,-0.7,0.5127,0.741935483870968
113.7,98.7,0.8352,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,49.4,46.6,38.7,32.5,72.1,0.2,0.563,0.617647058823529
115.8,97.3,0.8807,55.1,48,18.2,15.3,29.2,27.8,37.9,23,55.5,44.5,36.3,37.1,66.9,5.6,0.5902,0.742857142857143
114.5,93.2,0.9148,52.9,43.1,16.8,14.2,27.2,29.3,39.8,34.4,50.1,42.6,38.2,29.4,68.7,-0.3,0.5623,0.575757575757576
112.1,94.2,0.8811,51,49.2,16.3,21.4,33.2,27.7,32.2,36.8,50.1,48.6,35.2,33.7,70.3,-0.1,0.5562,0.694444444444444
123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,66.7,8.9,0.6007,0.875
119.9,91,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,0.6037,0.783783783783784
101.7,99.5,0.5599,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,67.7,-3.7,0.4572,0.71875
114.8,90.4,0.9396,49.8,48.4,20,25,42,27.1,46.2,55.3,50.3,47.7,32.5,33.1,70.9,7.4,0.5845,0.742857142857143
110.3,87.8,0.9321,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,66.8,0.2,0.5347,0.735294117647059
108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38,33.6,46.6,44.8,34.9,37.4,64.1,0.4,0.585,0.628571428571429
117,94.3,0.9229,51.4,47.8,17.4,19.3,35.2,26,41.7,33.6,49.8,48.6,36.3,31.1,72.4,7.7,0.5686,0.823529411764706
109.1,95.6,0.8209,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36,32.7,66.8,-0.1,0.5046,0.758620689655172
117.8,86.3,0.9728,56.6,41.1,16.2,17.1,30,26.2,39,26.9,56.3,40,38.2,29,71.5,7.7,0.5531,0.948717948717949
121,91.5,0.9615,51.7,48.1,16.2,18.6,41.3,25,34.3,31.6,51,46.3,35.5,33.9,72.8,8.4,0.6075,0.846153846153846
122.2,92.5,0.9611,57.5,48.1,17.1,20.1,30.2,27.8,35,22.1,59.2,49.1,36.9,31.1,65.6,11.1,0.5758,0.888888888888889
121.5,94.5,0.9472,56.1,48.1,17.6,18.6,34.1,29.7,36,30,53.6,45.3,40.4,35.6,71.4,11,0.5897,0.861111111111111
118.3,91.3,0.9517,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,73.7,9,0.5978,0.842105263157895
117.6,91.5,0.9469,51.4,45.7,16,19.6,36.7,28.5,34,38.8,50.5,44.8,35.5,31.6,69.4,6.9,0.6041,0.735294117647059
122.1,95.6,0.9436,54.8,47.4,16.3,17.3,31.7,29.8,39.3,31.2,53.5,48.9,37.9,29.3,69.7,8.6,0.5956,0.756756756756757
117.6,95.6,0.9157,53.7,47.7,16.6,17.4,33.2,26,40.5,28.6,51.5,48.4,39,31,67.1,7.9,0.5839,0.864864864864865
117.8,93.8,0.9321,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38,31.2,68.4,6,0.5793,0.868421052631579
116.4,93.9,0.9226,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,52.2,45,35.3,32.2,65.1,7.9,0.601,0.794117647058823
122.8,99.6,0.9175,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,59.1,45.3,40.6,36.5,74.6,6.6,0.5497,0.861111111111111
115.4,95.2,0.9014,53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,54.4,45.4,34.7,34.9,72.8,5.9,0.5822,0.742857142857143
116.6,88.9,0.9576,51.6,45.8,16.9,21,32.1,29.5,40.2,34,50.3,45.7,35.9,30.5,70.2,6.4,0.5977,0.75
115.4,89.3,0.9498,51.3,48.8,17,27.6,37.9,31.9,38.9,42.5,49.8,46.5,36.2,35.3,72.2,6.4,0.5686,0.756756756756757
116.6,93.1,0.9297,55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,52.7,46.6,40.3,33.2,70.4,5.6,0.5679,0.771428571428571
117.7,96.9,0.9038,54.6,50.8,15,19.6,27.2,27,37.1,37,54.5,51.3,36.6,33.3,67.2,5.5,0.5956,0.735294117647059
111.8,86.9,0.9477,52.4,46.1,15.6,20.7,28.3,24.5,26,33.8,49.7,45.1,38.5,31.7,60.3,5,0.6001,0.676470588235294
120,96.2,0.9265,55,49,14.1,19.5,25.7,31.6,27.6,25.6,51.8,47.5,40,34.6,69.6,6.5,0.5882,0.685714285714286
119.3,96.4,0.9205,53.6,49.1,14,18.7,27.3,30.8,28.6,26.7,50.9,48.2,38.4,33.8,68.3,5.9,0.5775,0.722222222222222
109.3,92.9,0.8665,48.7,45.1,16.1,17.6,29.7,30.2,39.6,29.2,47.5,44.5,34.3,30.9,70.9,3.7,0.5817,0.705882352941177
120,94.1,0.9426,54.6,46,16.9,18.3,37.2,26.4,36,24.6,51,44.1,40.6,32.1,64.8,6.4,0.5417,0.857142857142857
115.2,92.1,0.9292,52,45.2,15.3,20.2,35.5,29.4,32.5,29.1,52.1,41.4,34.5,34.4,65.4,5.6,0.5552,0.833333333333333
114.5,95.2,0.8931,57.6,49.9,17.1,19.3,24.2,29.6,27.9,29.3,56.4,50.2,39.8,33,72.7,4.3,0.5655,0.735294117647059
113.4,97.9,0.8448,52.4,47.5,19,18,30.4,32.3,38.5,32.6,51,45.6,36.3,34.2,68.6,3.7,0.561,0.75
123.3,97.6,0.9366,57,51.9,14.2,19.5,24.7,30,30.1,27.2,56.3,50,38.5,37.8,64,3.8,0.5843,0.684210526315789
118,93.8,0.9334,57.8,45.3,17.5,15.3,33.1,21.9,27.8,26.6,56.9,45.4,39.4,30,61.2,3.9,0.5498,0.852941176470588
108.7,89,0.9083,47.3,45.5,18.4,24.3,34,31.6,40.2,44.5,45.9,45.4,33.4,30.6,69.6,1.7,0.5813,0.722222222222222
111.6,97,0.8333,53.6,47.7,16.9,20.9,25.6,27.4,43.4,35.2,51,47.2,38.4,32.3,69.6,1.5,0.5465,0.774193548387097
114.5,92,0.9255,52.1,47.5,17,19.5,35.9,25.9,32.9,28,51.1,43.1,35.9,37.6,64.4,5.1,0.5577,0.72972972972973
110.8,93.1,0.8804,51,47.6,19.5,18.3,33.4,28.2,34.3,28.7,49.8,46.6,35.6,33,64.6,2.9,0.5664,0.636363636363636
111.2,95.2,0.8564,49.7,46.1,16,17.9,30.8,30.6,30.5,36.1,48.8,44,34.2,33.3,66.9,2,0.5586,0.666666666666667
114.9,99.8,0.8339,51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,50,46.7,36.5,33.2,71,3.9,0.5649,0.722222222222222
112.5,93.8,0.8898,52.1,48.1,18.2,16.1,24.8,27,34.8,30.7,48.1,46.8,37.6,33.8,67,0.1,0.6063,0.542857142857143
111.6,94.9,0.8661,54,46.7,20.5,15.9,29.2,27.3,33.5,34.7,52.9,44.1,37.3,34.6,68.1,0.4,0.592,0.571428571428571
118.4,102.5,0.8401,56.9,51,17.2,16.5,23.4,30.5,40.9,27.3,54.6,49,40.3,36.3,70,3.3,0.551,0.666666666666667
108.9,95.6,0.8178,49.9,49,19.5,17.5,35.7,25.4,37.6,36.1,49.6,48,33.8,34.1,68.9,2.7,0.5616,0.636363636363636
117.2,92.2,0.9403,54.2,43.8,16.2,19.3,34.2,24.2,40.4,35.1,50.7,42,40.2,31.2,70,4.1,0.517,0.885714285714286
126.8,102.3,0.9221,54,53.2,18.2,20.3,38.3,31.9,37.4,45.4,50.4,52.4,40.3,36.4,72.9,3.3,0.5882,0.625
121.8,101.8,0.8881,57.5,52.2,17.3,18.3,27.1,29.2,31,35.7,52.7,50.6,42.9,36.8,71.5,0.6,0.5571,0.59375
108.1,95.9,0.7988,51,47.5,17.8,21,31.3,27.5,36.4,40.9,51.5,46,33.1,33.8,70.1,1.3,0.5578,0.742857142857143
122.4,102.6,0.8831,54.1,52.7,16.4,16.2,30.7,27.7,40.7,38,52.1,52.1,38.5,35.8,72,1.3,0.5798,0.575757575757576
112.2,94.2,0.8818,52.7,49.6,19.1,22.1,29.5,32.3,41.1,33.4,51.8,45.5,36.2,38.2,67.2,1.7,0.5696,0.6
111.1,94.1,0.8717,50.8,45,16.4,19.4,32.8,29.7,39.2,45,51.2,45.4,33.3,29.5,67.7,0.4,0.5604,0.714285714285714
115.6,97.9,0.8713,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52,52.5,34.5,33.4,68.4,1.6,0.5967,0.631578947368421
108.3,94.5,0.8278,51.4,49.6,18.4,20.3,26.4,28.6,38.1,30.5,49.1,49.9,37.1,32.8,67.6,0.6,0.5582,0.606060606060606
113.3,100.6,0.7966,52.2,50.1,15.7,17.9,31,31.4,36.8,24,51,47.2,36.2,36.8,70.1,1.3,0.5541,0.722222222222222
111.2,96.6,0.8339,54.1,47.9,15.6,19.8,30.1,23.8,30,38.2,53.6,47.1,36.9,32.8,65.8,2,0.5083,0.885714285714286
113.7,100.7,0.8021,52.5,48.3,15.5,15.9,30.4,26.3,41.3,28.2,49.2,49.3,38.2,31,71,1.7,0.5199,0.8
107.6,95.4,0.7989,53.2,48.7,15.2,20.2,24.1,24.7,24.4,32,50.5,46.9,37.6,34.5,64.2,-0.4,0.5049,0.793103448275862
117.7,105,0.7881,55,53.2,13.9,20.1,32.5,28.5,30.8,39.6,55.7,54.2,36.1,34,71.5,1.5,0.515,0.878787878787879
110,98.2,0.7864,55.3,48.6,17,19.6,29.8,27.1,34.3,26.5,55.5,46.9,36.7,34.9,65.8,0.7,0.4948,0.852941176470588
107.3,97.1,0.7595,55.8,48.7,20.8,22,30.1,27.4,42.8,38.2,55,45.7,38.2,35.4,71.5,-0.7,0.4951,0.818181818181818
108.3,99.1,0.7352,55.3,48,18.9,19.7,26.8,27.9,37.2,33.1,54.3,46.5,37.9,34.2,71.4,-2.1,0.4924,0.742857142857143
105.3,101.3,0.6106,53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,50.9,45.9,37.9,32.1,72.3,-1.8,0.4789,0.838709677419355
109.4,102.5,0.6783,52.7,47.9,19.5,19.1,35.6,28.5,43.3,35.2,54.2,49.1,33.5,30.3,69.1,-0.2,0.4799,0.903225806451613
107.8,103.4,0.6169,53.9,49.3,17.9,17.4,33.8,29.6,33.8,35.9,55.4,51,33.7,31,67.2,-1.7,0.4751,0.838709677419355
109.3,106,0.5879,53.4,50,16.5,18,27,32.1,31,33.4,49.3,47.7,39.7,36.1,71.7,-5.8,0.5044,0.628571428571429
104.1,102.9,0.5322,48.2,50.1,17.9,19,38.1,29.8,32.5,34.3,48.5,48.5,31.7,35.3,69.5,-7.2,0.4901,0.628571428571429
108.8,106.6,0.5596,51.6,50.1,17.8,17.6,30.8,29.8,40.1,32.8,50.9,49.5,35.1,34.1,69.4,-8.1,0.4813,0.628571428571429
105.5,104.1,0.537,52.4,49.7,18.8,17,31.2,26.4,36.5,30.5,51.6,50.2,35.7,32.4,69.3,-4.9,0.4867,0.727272727272727
103.1,102.7,0.5112,53.4,50.7,18.3,19.6,26,27.8,36.1,39.7,51.4,50,38.7,34.8,72.5,-5.3,0.4573,0.758620689655172
104.4,104.2,0.5054,52.6,49.4,20.7,16.6,31.2,28.5,33.4,34.4,50.8,45.1,37.2,37.8,65,-8,0.4735,0.606060606060606
101.4,101.3,0.5043,51.3,45.3,17.8,19.8,31.6,31.2,34.2,28,52.7,46.1,32.7,29.2,68,-5.1,0.3875,0.806451612903226
108.2,109.7,0.4612,53.2,53.8,18.4,16.2,27.1,28.9,39.9,27.1,52.7,52.4,35.8,36.9,68.5,-9.8,0.5065,0.545454545454545
99.6,101.2,0.4538,50.2,50.3,23.7,22.4,36.1,32.6,42.8,34.7,51.6,51.8,30.7,31.9,67.7,-6.3,0.4619,0.689655172413793
98.9,101.8,0.4155,51,49.9,19.2,21.7,23.1,34.8,32.4,32.6,49.4,49.5,35.8,34.1,68.3,-7.9,0.4902,0.555555555555556
97.4,100.8,0.4033,48.4,48.7,20.3,19.6,29.1,28.3,40.8,33.1,46.9,48.5,34.5,32.6,70.3,-7.5,0.4524,0.676470588235294
100.6,106.5,0.3437,48.1,49.1,16.6,19.2,31.7,34.9,44.3,32.3,50,49.3,29.6,32.5,70,-4.4,0.4553,0.657142857142857
128.4,94.1,0.9725,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,10.6,0.5963,0.9
114.6,86.7,0.9612,52.7,44.3,14,20.9,27,25.6,24.5,26.2,50.1,42.8,38.3,31,60.5,11.3,0.5888,0.911764705882353
122.3,92.9,0.9592,55.9,46.4,17.5,17.3,38.8,30,34.6,22.3,56,45.4,37.2,32,70.9,6.6,0.588,0.783783783783784
